medallion,hack_license,vendor_id,pickup_datetime,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
FFBFCA8A2DE362A445D7375BD5B64FD6,CDC6FC837A78E55F3671549EE26EC54B,CMT,2013-08-04 15:21,CSH,13,0,0.5,0,5.33,18.83
C0D5941A4A93777E96210EBD9DCAEC95,165DEDC2F90EAD11270D579758145D4B,CMT,2013-08-04 20:13,CSH,15.5,0.5,0.5,0,0,16.5
C2CD022EDE5A76A2576B953FD26A6875,508B5CEB07158E68DBE984AD69C67706,CMT,2013-08-04 12:27,CSH,6,0,0.5,0,0,6.5
0305D9CCDEECC106EE7BC4FD453986C9,732BEB18208EAE888ECF0B7B4464023E,CMT,2013-08-04 07:45,CSH,7.5,0,0.5,0,0,8
4A17962CB3E106E57D60793A789FE48E,6B9B4670E8E0F1E38E8631D33CFAAFE5,CMT,2013-08-04 07:56,CSH,4.5,0,0.5,0,0,5
A8998DAAB5B9AB4BF05BBEB3870BE326,A394D2DB6F8A742F01F73E43656C51F7,CMT,2013-08-04 20:53,CSH,9.5,0.5,0.5,0,0,10.5
5803D6EAD49AEAA82063A7DDCE35CD04,7AD46141AC71E2877BE0439D93572649,CMT,2013-08-04 23:45,CSH,9.5,0.5,0.5,0,0,10.5
2E35E767EBF19DFED9CCB59C5C7C1087,BE3B0B9695D83F5964F16728D972821F,CMT,2013-08-04 12:54,CSH,6,0,0.5,0,0,6.5
79616C285FA42A86698374E546EE4D57,8F7AF232A0070B596B2814B75B72E2FB,CMT,2013-08-04 15:33,CSH,8.5,0,0.5,0,0,9
39571F1285E7DAC61A10D6830AC2D9B0,743E82308F4D61A61FB7B807BDE46741,CMT,2013-08-04 11:18,CSH,5.5,0,0.5,0,0,6
8AADE866F4F6808B5F06E47492820DBF,BA39681C30D9B974B66742F425C5A7E6,CMT,2013-08-04 13:08,CSH,6.5,0,0.5,0,0,7
A0432BA6B2E7C5B7DD23179092E551DB,576E56766CADA3BDE0E408D02DDCE8E1,CMT,2013-08-04 22:16,CSH,9,0.5,0.5,0,0,10
2CCB6C8BC529CF38EB7AAAA3C8B3A427,910A372550A59A1A226AF8E5C77E5F38,VTS,2013-08-07 10:58,CSH,10.5,0,0.5,0,0,11
0FAF0CC8A44ED8AE5C5CB6C687B5BAFA,ECAC829311F705D7038C363A1CB4B511,VTS,2013-08-07 11:11,CRD,7,0,0.5,0,0,7.5
AA84852A1B5D79201A8027EB828BF546,A671FA5AF7A37CE619E4F152EC7D80A4,VTS,2013-08-07 15:08,CRD,32.5,0,0.5,8.12,5.33,46.45
17611511BDBE9D549FA200CFF09B1980,FF9E57FA4D727BDF69A64CAC9F5D1E8D,VTS,2013-08-07 16:06,CSH,18.5,1,0.5,0,0,20
DDB97BFEC29985F364E40493881FC1E8,22D376CA42729BE5A7DAF56107101008,VTS,2013-08-07 16:05,CSH,14,1,0.5,0,0,15.5
E19C7F460BA01C140E4AC45ABDF70699,533D4908BB1C809D4B13EE5B2957B584,VTS,2013-08-07 19:00,CSH,9,1,0.5,0,0,10.5
ECF274DD2C2FB8A1398C2CF2972B8D6C,8CF2F54FEAF585FE4E79F6703BA00F80,VTS,2013-08-07 19:40,CSH,22.5,1,0.5,0,0,24
ECB0DFE145A81558D53AA1D3629D4257,E6052708C75B645DA8D44445192272BA,VTS,2013-08-07 19:38,CSH,22,1,0.5,0,0,23.5
E20585D090C0C28E2A3B0C6DFBA678E9,16B9285E8232CFB9AFBB949A1F0F75B6,VTS,2013-08-07 20:36,CRD,8.5,0.5,0.5,1.8,0,11.3
B33D3A4EECF3E2617C5AA7AF0D1FEABE,6F2184ACDAA95090EA90A03C908408E0,VTS,2013-08-07 21:58,CRD,17.5,0.5,0.5,3.6,0,22.1
0B1C85B5C2B3B3DA21D2EFA36941FCFF,7BF2BE93BA187558CD36702910D65BB4,VTS,2013-08-07 23:27,CRD,10,0.5,0.5,2.62,5.33,18.95
6A0EB6A35E330DE2E64BEE0CEABE7ADE,56D49BD543BD1997215F1343B0FB255A,CMT,2013-08-07 00:31,CRD,18,0.5,0.5,4.75,0,23.75
76BBABBE9C55F57536ACE694B5CD170D,CF7C97B36AE54A606B0B41CF6A48802B,CMT,2013-08-07 17:44,CRD,5,1,0.5,1.3,0,7.8
DC4EB59ED25BB5C96EBA9FDA2E33C6A7,34C4E7DC068CF972E9E7771C799D92B7,CMT,2013-08-07 10:18,CRD,34.5,0,0.5,5,0,40
33025CCFD2E1B9948400379ED6708DD6,0267CFE9671BA93DE822299AE653984B,CMT,2013-08-07 18:38,CRD,10,1,0.5,2.3,0,13.8
51B267141807D0261EEB1844D2A78087,9DE60DFD683336F899D5BB448CE7CB09,CMT,2013-08-07 10:30,CRD,8.5,0,0.5,2,0,11
D42076D7B45BCFBB8D544D765C2FB094,E8D164D00818E338FDDD0193AB7DF17B,CMT,2013-08-07 13:21,CRD,9,0,0.5,1.9,0,11.4
CA40ECBBDE936E87FCB99B52B6997A3E,F0E7E042FB67158627B0A09C600645FD,CMT,2013-08-07 19:27,CRD,6.5,1,0.5,1.6,0,9.6
4930F7CB01AB0B737123E3A7027903B7,FB3A169FCF7BB6696D4D06B8EEC82944,CMT,2013-08-07 23:35,CRD,13.5,0.5,0.5,2.9,0,17.4
9FABF33870AB539FD9C28451E49D2C52,9A6BBBDA72FA47AC61F3538E0C9C04E6,CMT,2013-08-07 04:36,CRD,28,0.5,0.5,6.86,5.33,41.19
22908753E00888CC219C875C8D5BC4F6,4A19BA29B6ACE9F4D426A4774E9BB47B,CMT,2013-08-07 09:01,CSH,13,0,0.5,0,0,13.5
37C3E7EADFDAE6F3C28E38014B27BEC7,B60F484B9E7B63F1B1F6BE90A68B8915,CMT,2013-08-07 20:24,CSH,52,0,0.5,0,5.33,57.83
FAAAFA3F332009DC2C69307C73DC7A80,92550CBD53D4096F31657C93CC63432A,CMT,2013-08-07 15:08,CSH,9.5,0,0.5,0,0,10
BDAB74F6D244EB1E13BC0E8585AA751D,545A5019104F43226FF381AB39DB3C4F,CMT,2013-08-07 18:25,CSH,27.5,1,0.5,0,5.33,34.33
95BAEED42B88D2F3D5392D29B2DAC527,44026CF8F97C709D24F1B290310EF4FB,CMT,2013-08-07 16:34,CSH,16.5,1,0.5,0,0,18
C116C705A9DA281D8188EB0B1D4BA795,6E5D05769E41467946F5F169B25A5279,CMT,2013-08-07 16:35,CSH,14,1,0.5,0,0,15.5
B25FD88FF299C626399EF0BB8ED20CFD,376E3001954E6EDF62FA84BBCF62E5CE,VTS,2013-08-07 00:04,CRD,5,0.5,0.5,1,0,7
8598F674FC21BEE23203A26EFB5E6BDC,F7BC5A38EDE03DC655A83B3402694084,VTS,2013-08-07 06:02,CSH,11.5,0,0.5,0,0,12
17128351740DC1755E086513FF6BF59D,7E6D78FCB9166672249E3D3C56529969,VTS,2013-08-07 07:05,CSH,12.5,0,0.5,0,0,13
7547148BA2643D91AB617BEAAD610930,DFAE2174B59FAD3B1DB593B447869624,VTS,2013-08-07 08:34,CRD,16.5,0,0.5,3.3,0,20.3
